Date,6857.T,8267.T,5201.T,2802.T,6770.T,6113.T,9202.T,8304.T,2502.T,3407.T
2015-01-05,1360.389404296875,1122.8980712890625,2451.095947265625,2057.6435546875,2128.619384765625,840.4585571289062,2732.71435546875,2824.910400390625,3257.00048828125,935.3690795898438
2015-01-06,1303.9677734375,1098.947509765625,2347.41162109375,2013.0921630859373,2053.1884765625,815.955322265625,2651.544677734375,2824.910400390625,3147.373291015625,905.5939331054688
2015-01-07,1290.533935546875,1100.32958984375,2376.44287109375,2013.5517578125,2083.54443359375,810.2379760742188,2653.348388671875,2869.869140625,3142.95263671875,914.5264892578124
2015-01-08,1328.148193359375,1124.2796630859375,2475.97998046875,2032.382568359375,2169.093994140625,841.2752075195312,2741.7333984375,2862.376220703125,3214.564208984375,921.7576293945312
2015-01-09,1286.055908203125,1115.5286865234375,2455.2431640625,2015.84765625,2116.66064453125,828.2069091796875,2717.38232421875,2884.855712890625,3196.440185546875,924.309814453125
2015-01-13,1236.799072265625,1053.3502197265625,2455.2431640625,2038.353271484375,2200.370361328125,826.5733642578125,2739.929443359375,2922.321044921875,3176.105712890625,939.1973266601562
2015-01-14,1194.7066650390625,1051.9683837890625,2459.390625,2069.58544921875,2151.6162109375,808.6044921875,2735.420166015625,2869.869140625,3167.70751953125,940.8988037109376
2015-01-15,1215.304931640625,1087.8936767578125,2488.421875,2087.49853515625,2158.055419921875,829.023681640625,2784.1220703125,2854.883056640625,3275.124755859375,953.6597900390624
2015-01-16,1195.60205078125,1065.7861328125,2451.095947265625,2049.376220703125,2169.093994140625,842.908935546875,2745.3408203125,2892.3486328125,3192.01953125,932.8170776367188
2015-01-19,1209.9312744140625,1074.5369873046875,2513.306396484375,2110.46240234375,2156.2158203125,846.1759643554688,2710.167236328125,2892.3486328125,3203.513427734375,944.7271118164062
2015-01-20,1219.7828369140625,1118.7525634765625,2529.8955078125,2151.799560546875,2131.37939453125,872.3126220703125,2718.283935546875,2914.828369140625,3259.2109375,957.0626220703124
2015-01-21,1210.826904296875,1139.478759765625,2467.685546875,2134.345947265625,2194.8505859375,859.2442016601562,2746.24267578125,2922.321044921875,3247.718017578125,948.9806518554688
2015-01-22,1217.99169921875,1150.5328369140625,2480.12744140625,2177.060546875,2144.25732421875,862.5114135742188,2735.420166015625,2952.29345703125,3294.57421875,948.5553588867188
2015-01-23,1231.425537109375,1148.6905517578125,2529.8955078125,2170.1708984375,2173.693603515625,874.7630004882812,2774.201171875,3004.746337890625,3341.873779296875,977.0546875
2015-01-26,1221.573974609375,1145.927001953125,2517.45361328125,2197.269775390625,2199.450439453125,855.9771728515625,2788.631591796875,3034.71826171875,3354.693359375,976.2037353515624
2015-01-27,1235.9033203125,1151.9144287109375,2550.632568359375,2270.757080078125,2226.126953125,883.7474365234375,2838.235107421875,3162.1015625,3432.935302734375,988.1138916015624
2015-01-28,1222.4696044921875,1155.138671875,2583.81201171875,2291.88427734375,2205.8896484375,891.9151611328125,2932.031005859375,3192.073974609375,3442.218017578125,992.367431640625
2015-01-29,1238.59033203125,1156.98095703125,2563.07470703125,2288.2099609375,2158.97509765625,877.2133178710938,2958.18603515625,3192.073974609375,3428.072998046875,983.0097045898438
2015-01-30,1354.1199951171875,1150.993408203125,2612.84326171875,2239.98388671875,2278.560791015625,882.11376953125,2941.9521484375,3222.046630859375,3438.240234375,997.0465698242188
2015-02-02,1300.38525390625,1146.3878173828125,2592.1064453125,2131.131103515625,2302.477783203125,878.0300903320312,2892.34814453125,3214.552734375,3422.767822265625,1016.613037109375
2015-02-03,1302.1766357421875,1145.927001953125,2571.36962890625,2062.69580078125,2228.886474609375,886.19775390625,2845.4501953125,3094.663330078125,3371.932861328125,984.2858276367188
2015-02-04,1347.85107421875,1176.7861328125,2629.4326171875,2082.90478515625,2210.489013671875,892.7319946289062,2872.506591796875,3042.21142578125,3325.517822265625,992.367431640625
2015-02-05,1327.252685546875,1186.4580078125,2621.13818359375,2049.8359375,2267.52197265625,877.2133178710938,2846.35205078125,3034.71826171875,3297.668701171875,965.1444702148438
2015-02-06,1353.224609375,1177.24658203125,2641.874755859375,2009.8770751953125,2242.6845703125,885.3807983398438,2863.48779296875,3027.22509765625,3291.0380859375,986.837890625
2015-02-09,1366.6583251953125,1181.852294921875,2882.421875,2039.271728515625,2206.8095703125,893.5487060546875,2825.608642578125,3057.197509765625,3252.1376953125,995.7705688476562
2015-02-10,1356.806884765625,1175.404052734375,2923.89599609375,2028.24853515625,2218.767822265625,898.4494018554688,2833.7255859375,3079.676513671875,3267.167724609375,1001.3002319335938
2015-02-12,1372.031982421875,1197.5123291015625,2948.77978515625,2075.0966796875,2218.767822265625,854.3436889648438,2876.114501953125,3079.676513671875,3348.946533203125,1011.9342041015624
2015-02-13,1368.4495849609375,1204.4208984375,2928.043212890625,2059.480712890625,2189.331787109375,855.1604614257812,2831.020263671875,3072.18408203125,3285.291748046875,995.7705688476562
2015-02-16,1380.9876708984375,1239.4251708984375,2948.77978515625,2008.9586181640625,2098.262451171875,851.0765380859375,2820.197021484375,3139.62158203125,3218.100341796875,997.897216796875
2015-02-17,1377.4053955078125,1237.1221923828125,2948.77978515625,2031.4639892578125,2151.6162109375,850.2598266601562,2837.333251953125,3139.62158203125,3200.419189453125,982.1588745117188
2015-02-18,1406.0640869140625,1233.8980712890625,2986.1064453125,2075.55615234375,2220.607421875,855.1604614257812,2881.525634765625,3199.567138671875,3287.501708984375,985.561767578125
